,d__Bacteria|p__Actinomycetota|c__Actinomycetes,d__Bacteria|p__Actinomycetota|c__Coriobacteriia,d__Bacteria|p__Bacillota|c__Bacilli,d__Bacteria|p__Bacillota|c__Clostridia,d__Bacteria|p__Bacillota|c__Erysipelotrichia,d__Bacteria|p__Bacillota|c__Negativicutes,d__Bacteria|p__Bacillota|c__Tissierellia,d__Bacteria|p__Bacteroidota|c__Bacteroidia,d__Bacteria|p__Bacteroidota|c__Chitinophagia,d__Bacteria|p__Bacteroidota|c__Cytophagia,d__Bacteria|p__Bacteroidota|c__Flavobacteriia,d__Bacteria|p__Bacteroidota|c__Sphingobacteriia,d__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria,d__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Nanoperiomorbia,d__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Nanosyncoccalia,d__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Saccharimonadia,d__Bacteria|p__Chlamydiota|c__Chlamydiia,d__Bacteria|p__Chloroflexota|c__Anaerolineae,d__Bacteria|p__Chloroflexota|c__Dehalococcoidia,d__Bacteria|p__Chloroflexota|c__Ktedonobacteria,d__Bacteria|p__Cyanobacteriota|c__Cyanophyceae,d__Bacteria|p__Deferribacterota|c__Deferribacteres,d__Bacteria|p__Deinococcota|c__Deinococci,d__Bacteria|p__Elusimicrobiota|c__Elusimicrobia,d__Bacteria|p__Fibrobacterota|c__Fibrobacteria,d__Bacteria|p__Fusobacteriota|c__Fusobacteriia,d__Bacteria|p__Lentisphaerota|c__Lentisphaeria,d__Bacteria|p__Mycoplasmatota|c__Mollicutes,d__Bacteria|p__Myxococcota|c__Myxococcia,d__Bacteria|p__Planctomycetota|c__Planctomycetia,d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria,d__Bacteria|p__Pseudomonadota|c__Betaproteobacteria,d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria,d__Bacteria|p__Pseudomonadota|c__Hydrogenophilia,d__Bacteria|p__Spirochaetota|c__Spirochaetia,d__Bacteria|p__Synergistota|c__Synergistia,d__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia,d__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia,d__Bacteria|p__Thermodesulfobacteriota|c__Desulfuromonadia,d__Bacteria|p__Thermodesulfobacteriota|c__Syntrophorhabdia,d__Bacteria|p__Thermomicrobiota|c__Thermomicrobia,d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae
C1,0.000310580302092364,0.00346351235216507,0.273387486158793,0.0903739193608173,0.00118458814766185,0.0349711534994836,2.35645145745344e-07,0.540713472233579,0,0,2.82774174894413e-06,0,0.00136061507153362,0,0,0,8.01193495534171e-06,0,0,2.35645145745344e-07,0,0,0,2.1208063117081e-06,0.00340224461427128,5.41983835214292e-06,7.06935437236033e-07,3.77032233192551e-06,1.41387087447207e-06,0,0.000198648857863325,3.51111267160563e-05,0.0188723484324531,0,0.0203517286574424,4.71290291490689e-06,0,0.0113446642516181,0,2.35645145745344e-07,0,2.35645145745344e-07
C2,0.000337823303601591,0.00584384946480749,0.475510631560313,0.101041610098307,0.00631144205413495,0.0182854797337755,7.05267857205828e-06,0.199169758678497,0,0,1.12842857152932e-05,0,0.00048169794647158,0,0,0,7.47583928638177e-05,0,0,1.41053571441165e-06,0,0,7.05267857205827e-07,1.34000892869107e-05,0.00423513348252099,1.05790178580874e-05,0,0,7.7579464292641e-06,0,0.0026630914288092,9.38006250083751e-05,0.144419109655752,0,0.0084230140186092,0.000118485000010579,0,0.0329374194672266,0,0,0,7.05267857205827e-07
C3,0.00798265316858723,0.000882895164204777,0.145741746302591,0.326982282627093,0.0297759825067818,0.0360248674513607,7.77679678315088e-05,0.316712336286991,9.14917268605986e-06,3.20221044012095e-05,0.000128088417604838,1.82983453721197e-05,0.00116651951747263,0,4.57458634302993e-06,0,5.48950361163592e-05,0,4.57458634302993e-06,3.20221044012095e-05,4.57458634302993e-06,0,7.77679678315088e-05,9.14917268605986e-06,0.00541631023014744,2.28729317151497e-05,0,0,9.14917268605986e-06,0,0.058993865479714,0.00135407755753686,0.0588108820259928,4.57458634302993e-06,0.0076715812972612,4.57458634302993e-05,0,0.00178408867378167,0,0,9.14917268605986e-06,0.000155535935663018
C4,0.000410971993164438,0.0103712707488464,0.413452388521627,0.0733288411761969,0.000851070782732925,0.0396511604364331,3.1968435077614e-06,0.338440942045845,0,0,5.32807251293567e-06,0,0.00230776580776954,0,3.55204834195711e-07,0,0.00186127333118553,0,7.10409668391423e-07,0,0,5.68327734713138e-06,3.55204834195711e-07,3.40996640827883e-05,0.0221576775571285,2.48643383936998e-06,1.77602417097856e-06,2.94820012382441e-05,2.48643383936998e-06,0,0.000911100399712,9.51948955644507e-05,0.0604736230218199,0,0.00833168459089461,6.74889184971852e-06,0,0.0272619710245209,0,0,0,3.55204834195711e-07
C5,0.00149518539638789,0.00297386764270528,0.703028861216633,0.0572943669417022,0.00395440865150984,0.00659948276588733,1.01557846587733e-06,0.01745931719613,0,0,2.53894616469331e-07,0,0.000198545590079017,0,5.07789232938663e-07,0,0.00454547531865044,0,7.61683849407994e-07,0,0,5.07789232938663e-07,0,2.53894616469331e-07,0.00136773029892029,1.01557846587733e-06,0,6.06808133361702e-05,7.10904926114128e-06,0,0.000130755727481706,0.000448377892684839,0.196657629710951,0,0.00363094691012791,3.9861454785685e-05,0,0.000103081214286549,0,0,0,0
C6,0.000151097391948395,0.00197029993460827,0.34778747912983,0.0575017341002678,0.00104184291553103,0.0493296530265864,2.01127975971241e-06,0.510189771787628,0,0,5.02819939928102e-06,7.54229909892153e-07,0.0022134133755635,0,2.51409969964051e-07,0,0.00203692357664874,0,0,5.02819939928102e-07,2.51409969964051e-07,0,0,4.02255951942481e-06,0.00698316332572148,2.01127975971241e-06,0,7.29088912895748e-06,1.0056398798562e-06,0,0.000109614746904326,6.53665921906532e-05,0.00951611877310929,0,0.00700428176319846,1.25704984982025e-06,0,0.00407485279317734,0,0,0,0
H1,0.00386213409284601,0.00283249831042443,0.00308393482800056,0.275344065903608,0.00466681742768552,0.59472303283895,1.4809459547691e-05,0.070085064670856,2.81055436671508e-06,0,1.25393964053442e-05,2.48625963209411e-06,0.00019803598460854,1.29717893848388e-05,1.5133754282312e-06,3.18889822377288e-05,5.29681399880919e-06,2.81055436671508e-06,0,0,0,0,6.48589469241942e-07,0,1.08098244873657e-07,0.000152850918251351,0,0,1.08098244873657e-07,1.08098244873657e-07,0.00101936644915858,0.000274137148999594,0.0383251517375063,0,1.29717893848388e-06,8.64785958989255e-07,2.81055436671508e-06,0.00533951280553428,1.08098244873657e-07,0,0,2.16196489747314e-07
H2,0.000416574844234287,0.000958566574958053,0.000407686179850417,0.147497737997512,0.00070036171444125,0.00220568954735344,5.41991730723766e-07,0.785450947417805,1.08398346144753e-07,0,0.000140267459911311,0,1.05146395760411e-05,0,0,1.08398346144753e-07,3.90234046121112e-05,0,0,0,0,0,0,0,1.08398346144753e-07,4.05409814581377e-05,0,0,0,0,5.0947222688034e-06,0.000355438177008646,0.0110251957863828,0,3.2519503843426e-07,0,0,0.00303558728543767,0,0,0,0.0477095808853825
H3,0.000165400365628431,0.00685593877814693,0.00137088816251429,0.335835143895197,0.000751354566579264,0.00883088155898271,3.86974440338216e-06,0.63209104135446,0,0,1.58534690074043e-05,0,4.35658321542056e-05,1.24830464625231e-07,7.48982787751385e-07,1.24830464625231e-07,1.85997392291594e-05,0,0,0,0,0,0,0,0,0,0,2.49660929250462e-07,0,0,3.99457486800739e-06,0.00148311075021237,0.00323473182983361,0,9.98643717001847e-07,7.27761608765096e-05,0,0.00453421696658226,1.24830464625231e-07,0,0,0.00468626047249579
H4,0.000807896153863557,0.00655276309146654,0.00224294933163368,0.408232938866088,0.00463651460489819,0.0614695332392576,4.13709024222017e-06,0.512673394178726,1.16355663062442e-05,0,2.19782919117947e-06,0,3.60702555493571e-05,0,0,2.58568140138761e-07,2.40468370329047e-05,0,0,0,0,0,0,0,1.2928407006938e-07,2.58568140138761e-07,0,0,0,0,6.74862845762165e-05,0.000434782327643326,0.00270488131399157,0,7.75704420416282e-07,3.2967437867692e-05,0,6.20563536333025e-05,0,0,0,2.32711326124885e-06
T1,0.00114002859208577,0.000306444183815905,0.0965561577709606,0.091022356836915,0.00664196682811996,0.0110315220482842,2.81141453042115e-06,0.59362877239116,0,0,1.49942108289128e-05,4.68569088403524e-07,0.00233394262933795,4.68569088403524e-07,0,0,0.00356909074636964,0,0,0,0,4.68569088403524e-07,0,7.16910705257392e-05,0.0264718106493571,8.43424359126344e-06,1.82741944477374e-05,1.73370562709304e-05,9.37138176807048e-06,0,7.02853632605286e-05,0.00419744189391877,0.146090470382451,0,0.0134006073592524,1.8742763536141e-06,0,0.00337229172924016,0,0,0,2.06170398897551e-05
T2,0.00066284788542277,0.000434166148645323,0.0545215504715797,0.0510676568789629,0.000723505755287658,0.0564693420705744,0,0.80564889344058,0,0,7.83693409107082e-07,0,0.00134669875420961,0,0,0,7.46076125469942e-05,0,0,0,0,4.70216045464249e-07,0,3.60498968189258e-06,0.00137538193298293,1.56738681821416e-06,1.25390945457133e-06,4.18492280463182e-05,2.03760286367841e-06,0,1.15986624547848e-05,0.00038949562432622,0.0236810204816705,0,0.00183603691885607,6.26954727285665e-07,0,0.00170327925535333,0,0,0,1.72412550003558e-06
T3,0.000208437210450036,0.00200861702907644,0.251054978027706,0.0681521011290386,0.00059275023928193,0.0424757821877667,0,0.562569815943962,0,0,1.32903641094603e-06,2.21506068491005e-07,0.000957792240155107,0,0,2.21506068491005e-07,0.000208658716518527,0,0,0,0,0,0,8.86024273964022e-07,0.00265652227941263,1.10753034245503e-06,4.43012136982011e-07,0.000968203025374185,4.87313350680212e-06,0,4.98388654104762e-05,7.81916421773249e-05,0.0649369405448916,0,0.00147633794649255,3.32259102736508e-06,0,0.00158997055962844,0,0,0,2.65807282189207e-06
T4,0.000250449098483827,0.000926359918488374,0.286966052244956,0.0776660423879232,0.00352204522031139,0.0269164049859152,6.70546448417209e-07,0.491517587427522,3.35273224208604e-07,0,3.68800546629465e-06,0,0.00603424748930646,0,0,3.35273224208604e-07,0.000192446830695739,0,0,0,0,0,0,0,0.0378868801552449,9.38765027784092e-06,1.00581967262581e-06,0.000529396421025386,2.01163934525163e-06,0,0.000200828661300954,0.000259836748761668,0.0370386388979971,0,0.0195581635342089,6.70546448417209e-06,0,0.0105067923002492,0,0,0,3.68800546629465e-06
T5,0.000130171232412043,0.000425706571145575,0.146772092644605,0.100200472178125,0.00571863000502028,0.0163481499572597,0,0.662309110459831,0,0,1.69604211611783e-06,0,0.0166296929485353,0,0,0,0.00115712473372139,0,1.27203158708837e-06,0,0,0,0,0.000172996295844018,0.00275140432287215,5.08812634835348e-06,8.48021058058914e-07,0.000136955400876515,2.54406317417674e-06,0,0.000270094706991764,0.00162268829459573,0.0169078438555786,0,0.0148577529477212,3.900896867071e-05,0,0.0135272079076268,0,0,0,1.14482842837953e-05
T6,0.000102336171999195,0.000396552666496882,0.207619742043072,0.0940260096684424,0.00299624030859008,0.00582618433768146,6.9774662726724e-06,0.536039194753876,0,0,2.3258220908908e-06,0,0.000940213580242607,0,0,0,0.0219772743923499,0,2.15138543407399e-05,0,0,0,0,0.00010989509379459,0.0226633919091627,5.2330997045043e-06,1.62807546362356e-05,6.9774662726724e-06,2.9072776136135e-06,0,0.000598317732881659,0.00298868138679468,0.019439802491188,0,0.0302042885833534,0.000128501670521717,0,0.05387010981369,0,0,0,1.10476549317313e-05
