,d__Bacteria|p__Acidobacteriota,d__Bacteria|p__Actinomycetota,d__Bacteria|p__Armatimonadota,d__Bacteria|p__Bacillota,d__Bacteria|p__Bacteroidota,d__Bacteria|p__Campylobacterota,d__Bacteria|p__Candidatus Dadabacteria,d__Bacteria|p__Candidatus Hydrogenedentes,d__Bacteria|p__Candidatus Melainabacteria,d__Bacteria|p__Candidatus Saccharibacteria,d__Bacteria|p__Chlamydiota,d__Bacteria|p__Chloroflexota,d__Bacteria|p__Cyanobacteriota,d__Bacteria|p__Deferribacterota,d__Bacteria|p__Deinococcota,d__Bacteria|p__Elusimicrobiota,d__Bacteria|p__Fibrobacterota,d__Bacteria|p__Fusobacteriota,d__Bacteria|p__Ignavibacteriota,d__Bacteria|p__Lentisphaerota,d__Bacteria|p__Mycoplasmatota,d__Bacteria|p__Myxococcota,d__Bacteria|p__Planctomycetota,d__Bacteria|p__Pseudomonadota,d__Bacteria|p__Spirochaetota,d__Bacteria|p__Synergistota,d__Bacteria|p__Thermodesulfobacteriota,d__Bacteria|p__Thermomicrobiota,d__Bacteria|p__Verrucomicrobiota
C1,0,0.00384226046388803,0,0.424247759048164,0.520848344619305,0.00122395685971233,0,0,2.59881251034809e-05,0,7.12577623805123e-06,2.0958165406033e-07,0,0,0,2.30539819466363e-06,0.00313135949331539,4.82037804338759e-06,0,6.28744962180991e-07,4.82037804338759e-06,1.25748992436198e-06,4.1916330812066e-07,0.0173332411174055,0.019005912298461,4.1916330812066e-06,0.0103149802678873,0,4.1916330812066e-07
C2,0,0.00602988455355838,0,0.630526937503044,0.19246979882118,0.000418919577183496,0,0,0.000132739052072678,0,6.51517365677822e-05,3.04447367139169e-06,0,0,6.08894734278338e-07,1.27867894198451e-05,0.00372582687904915,9.13342101417507e-06,2.43557893711335e-06,1.82668420283501e-06,0,6.69784207706172e-06,0,0.129468678454869,0.00799905012421453,0.000115081104778606,0.0290053095620829,0,6.08894734278338e-06
C3,0,0.00622966663280978,0,0.657796163091688,0.240694743257094,0.000784864126169217,3.07789853399693e-06,3.07789853399693e-06,1.84673912039816e-05,3.07789853399693e-06,3.69347824079631e-05,3.69347824079631e-05,3.07789853399693e-06,0,5.23242750779478e-05,6.15579706799386e-06,0.00371810142906829,1.53894926699846e-05,0,1.53894926699846e-05,0,6.15579706799386e-06,0,0.0835064651258707,0.00569411228789432,3.69347824079631e-05,0.00121884781946278,6.15579706799386e-06,0.000113882245757886
C4,0,0.0108414423046573,0,0.537781915470439,0.339419241708442,0.00206353358328247,0,0,3.28140279031742e-05,1.56257275729401e-06,0.00164663917163643,6.25029102917605e-07,0,5.00023282334084e-06,3.12514551458802e-07,3.18764842487978e-05,0.0200643717473095,2.18760186021162e-06,3.12514551458802e-07,1.87508730875281e-06,2.75012805283746e-05,2.18760186021162e-06,0,0.0551485053522805,0.00839226576487468,7.18783468355245e-06,0.024528329600347,0,3.12514551458802e-07
C5,0,0.0046260272980998,0,0.783821031048964,0.0179408394534608,0.00018387731147164,0,0,0.00016199823896742,2.79307308564516e-06,0.00418565277492975,6.98268271411291e-07,0,4.65512180940861e-07,0,2.3275609047043e-07,0.00128830496075383,9.31024361881721e-07,1.39653654282258e-06,6.98268271411291e-07,5.63269738938441e-05,6.51717053317205e-06,4.65512180940861e-07,0.183790260693804,0.00379462254293943,3.95685353799732e-05,9.58955092738173e-05,0,1.39653654282258e-06
C6,0,0.00216683194743153,2.24008265008946e-07,0.469397222879935,0.498651806257044,0.00199412157510964,0,2.24008265008946e-07,4.65937191218607e-05,1.34404959005367e-06,0.00182365128543783,4.48016530017892e-07,2.24008265008946e-07,0,0,3.58413224014313e-06,0.00629732034593148,1.79206612007157e-06,8.96033060035783e-07,2.24008265008946e-07,6.94425621527732e-06,8.96033060035783e-07,0,0.00887162332741429,0.00703475555434093,1.12004132504473e-06,0.00369770443050267,0,4.48016530017892e-07
H1,0,0.00589385270523997,0,0.890983565182081,0.0635384009207306,0.000164930339201332,0,0,2.69935088709218e-07,0.000489752229281425,4.40893978225056e-06,2.51939416128604e-06,0,0,5.39870177418436e-07,0,8.99783629030727e-08,0.000128039210411072,0,0,0,8.99783629030727e-08,8.99783629030727e-08,0.0342840957035062,1.07974035483687e-06,8.09805266127654e-07,0.00450728613290362,0,1.79956725806145e-07
H2,0,0.00137077143059489,0,0.173901066045001,0.76483622051822,9.4623419276761e-06,0,0,0,8.19419300953394e-06,3.51179700408598e-05,0,0,0,0,0,9.7549916780166e-08,3.71665182932432e-05,0,0,0,0,0,0.0132131362278735,2.92649750340498e-07,0,0.00276319894271498,0,0.0438252756126574
H3,0,0.00680203053024094,0,0.403575269019853,0.564734588316985,3.60403937428507e-05,0,0,4.3372393616038e-06,9.91368996938012e-06,1.53868729733087e-05,0,0,0,0,0,0,0,0,0,2.06535207695419e-07,0,0,0.0170273821280334,8.26140830781677e-07,6.06180834586055e-05,0.00379570404702641,0,0.00393769700231702
H4,0,0.00631608495810189,0,0.537663235353866,0.450972011821487,2.95484417681999e-05,0,0,1.05530149172142e-06,7.38711044204997e-06,1.96286077460185e-05,0,0,0,0,0,1.05530149172142e-07,2.11060298344285e-07,0,0,0,0,0,0.00490704640635545,6.33180895032854e-07,2.9653971917372e-05,5.14987127960055e-05,0,1.89954268509856e-06
T1,4.11970036595298e-07,0.00142294450640016,0,0.240085426106788,0.577511132460314,0.00208415641513561,0,0,0.000114527670173493,3.29576029276239e-06,0.00315692639042977,0,0,4.11970036595298e-07,0,6.96229361846054e-05,0.0238901424221614,7.41546065871537e-06,1.64788014638119e-06,4.73765542084593e-05,1.56548613906213e-05,8.23940073190597e-06,8.23940073190597e-07,0.135281896677091,0.0132295937851848,3.29576029276239e-06,0.00304528251051245,0,1.97745617565743e-05
T2,0,0.00114185691129003,0,0.176037378877694,0.793926393614595,0.00125659032474457,0,0,2.98364529963438e-05,4.32412362265852e-07,6.88977030543591e-05,0,0,4.32412362265852e-07,0,3.3151614440382e-06,0.00130444395950199,1.58551199497479e-06,2.88274908177235e-07,1.44137454088617e-06,3.86288376957495e-05,1.87378690315203e-06,0,0.0226935773215283,0.00188575031184138,7.20687270443087e-07,0.00160497055127676,0,1.58551199497479e-06
T3,0,0.00226617899589544,0,0.375975418316815,0.554338626224868,0.000876629736193933,0,0,0.000189065220691586,4.00561908244886e-07,0.000189465782599831,0,0,0,0,8.01123816489772e-07,0.00245784786899062,1.00140477061221e-06,2.00280954122443e-07,6.00842862367329e-07,0.000876830017148055,4.40618099069375e-06,0,0.0598361381345752,0.00150691389881726,3.20449526595909e-06,0.00147386754138706,0,2.40337144946932e-06
T4,0,0.00129270380672242,0,0.413513257323297,0.476903139042676,0.00539653481917254,0,0,0.00533847571144623,2.07353956165374e-06,0.000170622683930365,0,0,0,0,5.9243987475821e-07,0.0345667931525799,8.29415824661495e-06,8.88659812137316e-07,3.55463924854926e-06,0.000468323720996365,1.77731962427463e-06,0,0.0338324639278171,0.0189930299448735,6.22061868496121e-06,0.00949769985218625,0,3.55463924854926e-06
T5,0,0.000630013549910191,0,0.298894686491586,0.637934353696628,0.0146673066569707,0,7.39018826874124e-07,9.38553910130138e-05,2.21705648062237e-06,0.00101245579281755,1.10852824031119e-06,0,0,0,0.000163692670152618,0.00246167171231771,4.43411296124474e-06,0,2.21705648062237e-06,0.000126002709982038,2.21705648062237e-06,3.69509413437062e-07,0.017058402071322,0.014821392082374,3.69509413437062e-05,0.0120733505746426,0,1.25633200568601e-05
T6,0,0.00064884531913145,0,0.342942399378245,0.517031809147146,0.000835026892330232,0,0,5.37745143298935e-05,2.02922695584504e-06,0.0192659880255317,2.02922695584504e-05,0,0,0,0.000110085562354593,0.0203211860425712,4.56576065065133e-06,0,2.99310975987143e-05,1.52192021688378e-05,2.5365336948063e-06,0,0.0209233591417182,0.0296607031068479,0.00011668054996109,0.048005929401165,0,9.63882804026392e-06
