,d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales,d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales,d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Geodermatophilales,d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kineosporiales,d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales,d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales,d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales,d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales,d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales,d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales,d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Streptosporangiales,d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales,d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales,d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales,d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales,d__Bacteria|p__Bacillota|c__Clostridia|o__Candidatus Borkfalkiales,d__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales,d__Bacteria|p__Bacillota|c__Erysipelotrichia|o__Erysipelotrichales,d__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales,d__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales,d__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales,d__Bacteria|p__Bacillota|c__Tissierellia|o__Tissierellales,d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales,d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Marinilabiliales,d__Bacteria|p__Bacteroidota|c__Chitinophagia|o__Chitinophagales,d__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales,d__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales,d__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales,d__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales,d__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Nanoperiomorbia|o__Candidatus Nanoperiomorbales,d__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Nanosyncoccalia|o__Candidatus Nanogingivales,d__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Nanosyncoccalia|o__Candidatus Nanosyncoccales,d__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Saccharimonadia|o__Candidatus Nanosynbacterales,d__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Saccharimonadia|o__Candidatus Saccharimonadales,d__Bacteria|p__Chlamydiota|c__Chlamydiia|o__Chlamydiales,d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales,d__Bacteria|p__Chloroflexota|c__Dehalococcoidia|o__Dehalococcoidales,d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales,d__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales,d__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales,d__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales,d__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__Elusimicrobiales,d__Bacteria|p__Fibrobacterota|c__Fibrobacteria|o__Fibrobacterales,d__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales,d__Bacteria|p__Lentisphaerota|c__Lentisphaeria|o__Victivallales,d__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Acholeplasmatales,d__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Anaeroplasmatales,d__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Mycoplasmatales,d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales,d__Bacteria|p__Myxococcota|c__Myxococcia|o__Polyangiales,d__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Pirellulales,d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales,d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales,d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales,d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales,d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rickettsiales,d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales,d__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales,d__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales,d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales,d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales,d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Cardiobacteriales,d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales,d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales,d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Legionellales,d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales,d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Nevskiales,d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales,d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Orbales,d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales,d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales,d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales,d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Xanthomonadales,d__Bacteria|p__Pseudomonadota|c__Hydrogenophilia|o__Hydrogenophilales,d__Bacteria|p__Spirochaetota|c__Spirochaetia|o__Brachyspirales,d__Bacteria|p__Spirochaetota|c__Spirochaetia|o__Leptospirales,d__Bacteria|p__Spirochaetota|c__Spirochaetia|o__Spirochaetales,d__Bacteria|p__Synergistota|c__Synergistia|o__Synergistales,d__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales,d__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales,d__Bacteria|p__Thermodesulfobacteriota|c__Desulfuromonadia|o__Desulfuromonadales,d__Bacteria|p__Thermodesulfobacteriota|c__Desulfuromonadia|o__Geobacterales,d__Bacteria|p__Thermodesulfobacteriota|c__Syntrophorhabdia|o__Syntrophorhabdales,d__Bacteria|p__Thermomicrobiota|c__Thermomicrobia|o__Sphaerobacterales,d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales
C1,5.31378889572704e-06,0.000220039167454879,2.41535858896684e-07,0,0,2.00474762884247e-05,0,3.06750540798788e-05,9.66143435586734e-07,0,0,0.00261293492154432,9.20251622396364e-05,1.66659742638712e-05,0.269457645720999,0,0.0902394876348132,0.00121420076267363,0.000437662976320791,0.0192450941651699,0.0135808367381838,2.41535858896684e-07,0.546921480556846,0,0,0,2.8984303067602e-06,0,0.00138327586390131,0,0,0,0,0,8.21221920248724e-06,0,0,2.41535858896684e-07,0,0,0,9.66143435586734e-07,0.00348729473075032,5.55532475462372e-06,0,9.66143435586734e-07,2.41535858896684e-07,1.93228687117347e-06,1.4492151533801e-06,0,0,0,5.36209606750637e-05,4.3476454601403e-06,0.000132361650675383,0,3.86457374234694e-06,3.01919823620854e-05,3.13996616565689e-06,2.80181596320153e-05,2.41535858896684e-07,0,0,0.0184492335101054,0,4.3476454601403e-06,0,1.64244384049745e-05,0,1.4492151533801e-06,5.07225303683035e-05,7.48761162579719e-06,1.69075101227678e-06,0,0,0,0.0205906904350834,4.83071717793367e-06,0,0.011628260854863,0,0,2.41535858896684e-07,0,2.41535858896684e-07
C2,1.60566244158491e-05,0.000151078238821852,0,1.45969312871355e-06,1.45969312871355e-06,4.74400266831904e-05,7.29846564356775e-07,4.37907938614065e-05,5.10892595049743e-06,7.29846564356775e-07,0,0.00482501563696264,0.000328430953960549,6.78757304851801e-05,0.474764460267518,0,0.100338575821205,0.00653139690442878,0.000434258705792281,0.0155873330749677,0.00119329913272333,7.29846564356775e-06,0.201962411442243,0,0,0,1.16775450297084e-05,0,0.000497755356891321,0,0,0,0,0,7.73637358218182e-05,0,0,1.45969312871355e-06,0,7.29846564356775e-07,0,4.37907938614065e-06,0.00438272861896244,1.09476984653516e-05,0,0,0,0,8.02831220792453e-06,0,0,7.29846564356775e-07,0.00261431039352597,1.45969312871355e-05,3.50326350891252e-05,0,4.37907938614065e-05,7.44443495643911e-05,1.24073915940652e-05,2.262524349506e-05,0,0,0,0.142538304172314,0,3.50326350891252e-05,0,1.82461641089194e-05,0,0.000196328725811973,0.000264204456297153,0.0001131262174753,4.37907938614065e-06,0,0,0,0.00850052293506336,0.000122614222811938,0,0.0340852942485901,0,0,0,0,7.29846564356775e-07
C3,2.87012676393207e-05,0.00421908634298015,0.000105237981344176,0,1.43506338196604e-05,0.000990193733556565,0,0.000597943075819182,0.000162640516622817,0.000530973451327434,4.78354460655346e-06,0.000377900023917723,0.000310930399425975,0.000392250657737383,0.147251853623535,0,0.329476201865582,0.0311360918440564,0.00123893805309735,0.00679263334130591,0.0262090408993064,8.13202583114087e-05,0.319971298732361,0,9.56708921310691e-06,3.34848122458742e-05,0.000133939248983497,1.91341784262138e-05,0.00121980387467113,0,0,4.78354460655346e-06,0,0,5.2618990672088e-05,0,4.78354460655346e-06,3.34848122458742e-05,0,8.13202583114087e-05,0,0,0.00566371681415929,2.39177230327673e-05,0,0,0,0,0,0,0,3.82683568524276e-05,0.0599091126524755,5.74025352786415e-05,9.56708921310691e-05,9.56708921310691e-06,0.000712748146376465,0.00105716335804831,0.000296579765606314,0.000961492465917245,9.56708921310691e-06,0,9.56708921310691e-06,0.0484477397751734,0,0.000928007653671371,4.78354460655346e-06,7.17531690983018e-05,0,1.43506338196604e-05,0.000110021525950729,0.000110021525950729,6.69696244917484e-05,4.78354460655346e-06,9.56708921310691e-05,0,0.00773020808419039,4.78354460655346e-05,0,0.00186558239655585,0,0,0,9.56708921310691e-06,0.000162640516622817
C4,3.60929725509261e-05,0.000274748546152968,0,0,7.36591276549512e-07,2.57806946792329e-05,0,2.76221728706067e-05,2.94636510619805e-06,7.36591276549512e-07,0,0.00898457209571267,0.000288007189130859,4.56686591460697e-05,0.408421448064791,0,0.0740226354499284,0.000882436349306315,0.000788152665907978,0.0374217832138214,0.000145108481480254,3.3146607444728e-06,0.343199973482714,0,0,0,5.52443457412134e-06,0,0.00236887754538323,0,0,3.68295638274756e-07,0,0,0.00191771538849665,0,7.36591276549512e-07,0,5.89273021239609e-06,3.68295638274756e-07,0,1.06805735099679e-05,0.0229742819155793,2.57806946792329e-06,1.84147819137378e-06,2.20977382964854e-06,1.87830775520126e-05,7.73420840376987e-06,2.20977382964854e-06,3.68295638274756e-07,0,1.84147819137378e-06,0.000866967932498775,5.89273021239609e-06,2.68855815940572e-05,0,7.36591276549512e-06,7.66054927611492e-05,1.06805735099679e-05,0.000137742568714759,3.68295638274756e-07,0,0,0.0602266491357943,0,3.68295638274756e-06,0,1.14171647865174e-05,0,7.36591276549512e-06,1.47318255309902e-06,2.06245557433863e-05,1.47318255309902e-06,0,0,0,0.00842697249936469,6.99761712722036e-06,0,0.0282666902375875,0,0,0,0,3.68295638274756e-07
C5,6.59304433822317e-06,0.00135104664578869,0,0,5.27443547057854e-07,1.0812592714686e-05,0,2.37349596176034e-05,1.58233064117356e-06,0,2.63721773528927e-07,0.00253832207021592,0.00014267347947915,4.19317619910994e-05,0.702927707268831,0,0.0578948409428053,0.00410746662271304,5.27443547057854e-05,0.00611359815394759,9.73133344321741e-05,1.05488709411571e-06,0.0177822317455085,1.05488709411571e-06,0,0,2.63721773528927e-07,0,0.000205439261579034,0,0,5.27443547057854e-07,0,0,0.00469530245590902,0,7.91165320586781e-07,0,5.27443547057854e-07,0,0,2.63721773528927e-07,0.00142066919400033,1.05488709411571e-06,0,1.4504697544091e-05,5.27443547057854e-06,4.21954837646283e-05,7.38420965880996e-06,0,0,2.10977418823142e-06,0.000113400362617439,2.9009395088182e-06,5.27443547057854e-07,0,8.17537497939674e-06,0.000433294873908027,9.23026207351244e-06,1.10763144882149e-05,5.27443547057854e-07,0,2.63721773528927e-07,0.196072919070381,0,3.69210482940498e-06,0,3.69210482940498e-06,2.63721773528927e-07,6.8567661117521e-06,6.32932256469425e-06,3.13828910499423e-05,7.91165320586781e-07,0,2.63721773528927e-07,0,0.00365412889401681,4.14043184440415e-05,0,0.000107071040052744,0,0,0,0,0
C6,5.41118290519711e-06,0.000112346464126949,0,0,0,5.92653365807302e-06,0,1.1853067316146e-05,1.03070150575183e-06,1.28837688218979e-06,0,0.00160016408767972,0.000114923217891329,1.75219255977811e-05,0.343577132031832,0,0.0578767239771061,0.0010678067599589,0.000317456063771564,0.048149993867326,0.000130899091230482,1.8037276350657e-06,0.514944914158025,0,0,0,5.15350752875915e-06,7.73026129313872e-07,0.00224924836092693,0,0,2.57675376437957e-07,0,0,0.00207145235118474,0,0,5.15350752875915e-07,0,0,0,5.15350752875915e-07,0.00715719125594071,2.06140301150366e-06,0,5.15350752875915e-07,2.31907838794162e-06,4.63815677588323e-06,1.03070150575183e-06,0,0,0,8.99287063768471e-05,1.28837688218979e-06,9.53398892820443e-06,0,3.86513064656936e-06,5.33388029226572e-05,6.44188441094894e-06,0.000101524098316555,1.28837688218979e-06,0,0,0.0090884682023432,0,4.12280602300732e-06,0,4.89583215232119e-06,0,2.4479160761606e-05,1.8037276350657e-06,2.06140301150366e-05,1.28837688218979e-06,0,2.83442914081753e-06,0,0.00697372638791688,1.28837688218979e-06,0,0.00417640250130641,0,0,0,0,0
H1,0.00107570286920127,0.00137193523445051,1.11912491593973e-07,0,0,5.56205083222046e-05,2.23824983187946e-07,1.72345237054718e-05,1.57796613147502e-05,0,0,0.00227976936626082,0.000383524108692545,8.43820186618556e-05,0.00244707854119381,0,0.283267974573034,0.004831486087095,0.00945806040208144,0.578313843586401,0.00290659123167867,1.2310374075337e-05,0.0712918383450918,0,2.9097247814433e-06,0,1.29818490249009e-05,2.57398730666138e-06,0.000204576034633783,1.34294989912768e-05,0,1.56677488231562e-06,1.01840367350515e-05,1.75702611802538e-05,5.48371208810468e-06,2.9097247814433e-06,0,0,0,0,6.71474949563838e-07,0,1.11912491593973e-07,0.000157908525639096,0,0,0,0,1.11912491593973e-07,0,1.11912491593973e-07,0.000522855160727042,6.74832324311657e-05,1.11912491593973e-07,0,0,1.17508116173672e-05,0.000271052054640603,4.47649966375892e-07,1.11912491593973e-07,0,2.35016232347343e-06,0,0.0348586147941823,0,1.36533239744647e-05,0,0,0,0.000318502951076447,0.000151529513618239,2.23824983187946e-07,1.45486239072165e-06,0,0,1.11912491593973e-07,1.11912491593973e-06,8.95299932751784e-07,2.9097247814433e-06,0.0055279175222843,0,1.11912491593973e-07,0,0,2.23824983187946e-07
H2,6.41941530688108e-05,0.00025072056009894,0,0,0,7.37737265113264e-06,0,6.2762722554412e-06,1.7617606331063e-06,0,0,0.000121010933486489,0.000663412988404091,6.05605217630291e-06,0.000363363130578175,0,0.148835520265533,0.000711420965656238,2.43343187447808e-05,0.00135358271642349,0.000778257759674709,5.50550197845719e-07,0.784659557375258,0,1.10110039569144e-07,0,0.000142482391202472,0,1.0680673838207e-05,0,0,0,0,1.10110039569144e-07,3.96396142448918e-05,0,0,0,0,0,0,0,1.10110039569144e-07,4.11811547988598e-05,0,0,0,0,0,0,0,1.7617606331063e-06,2.20220079138288e-07,0,0,0,2.97297106836688e-06,0.00035499476757092,3.30330118707431e-07,1.47547453022653e-05,0,0,0,0.0100275010834828,0,1.21121043526058e-06,0,0,0,3.56756528204026e-05,1.10110039569144e-07,2.20220079138288e-07,1.10110039569144e-07,0,0,0,3.30330118707431e-07,0,0,0.0030835215480943,0,0,0,0,0.048394573601074
H3,7.47197313534378e-05,1.65903132327125e-05,0,0,0,4.9391008860747e-06,0,1.24110740214185e-05,3.54602114897671e-06,1.26643612463454e-07,0,1.02581326095398e-05,0.00559574801669771,2.53287224926908e-05,0.00122299736555957,5.57231894839197e-06,0.338621843946195,0.000762267903417529,5.82560617331888e-06,3.79930837390361e-07,0.00868597880441844,3.92595198636707e-06,0.631014336816793,0,0,0,1.60837387828586e-05,0,4.39453335248185e-05,1.26643612463454e-07,7.59861674780723e-07,0,0,1.26643612463454e-07,1.88698982570546e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.53287224926908e-07,0,0,0,2.53287224926908e-07,1.26643612463454e-07,0,0,0,3.16609031158635e-06,0.00147362507462475,1.26643612463454e-07,0,0,1.26643612463454e-07,0,0.00294269097920081,0,1.89965418695181e-06,0,0,0,2.27958502434217e-06,1.13979251217108e-06,8.86505287244177e-07,0,0,1.01314889970763e-06,0,0,7.38332260661936e-05,0,0.00460007593551003,1.26643612463454e-07,0,0,0,0.00475166833962879
H4,3.8717370935644e-05,0.000660688967084854,0,0,0,7.7434741871288e-06,0,8.13721016274552e-06,8.92468211397895e-06,0,0,0.00416953273645584,0.00196224885714852,1.56181936994632e-05,0.0019499117965792,1.43057404474074e-05,0.411771183225167,0.00470685109784746,0.00310093329863207,0.0567865710833212,1.18120792685016e-05,3.80611443096161e-06,0.511635751174088,0,1.18120792685016e-05,0,2.23117052849474e-06,0,3.66174457323548e-05,0,0,0,1.31245325205573e-07,1.31245325205573e-07,2.44116304882365e-05,0,0,0,0,0,0,0,1.31245325205573e-07,2.62490650411146e-07,0,0,0,0,0,0,0,0,1.96867987808359e-06,0,6.35227373994973e-05,0,1.83743455287802e-06,0.000431140893300307,0,1.18120792685016e-06,0,1.31245325205573e-07,0,0.00244470667260421,0,2.49366117890588e-06,0,0,0,2.40178945126198e-05,0,9.1871727643901e-07,0,0,1.31245325205573e-07,0,6.56226626027864e-07,3.34675579274211e-05,0,6.2997756098675e-05,0,0,0,0,2.36241585370031e-06
T1,3.16322378514234e-05,0.000921648384671018,4.79276331082172e-07,9.58552662164345e-07,0,2.7798027202766e-05,0,1.96503295743691e-05,2.39638165541086e-06,1.43782899324652e-06,0,6.56608573582576e-05,0.00014570000464898,3.30700668446699e-05,0.0952274142227168,0,0.091227373963505,0.00679374199308979,0.000263601982095195,0.010492796716382,2.54016455473551e-05,2.87565798649303e-06,0.597173995041407,0,0,0,1.53368425946295e-05,4.79276331082172e-07,0.00236091520691078,4.79276331082172e-07,0,0,0,0,0.00362908037895421,0,0,0,4.79276331082172e-07,0,0,3.69042774933273e-05,0.0270767163244873,8.6269739594791e-06,1.3899013601383e-05,3.35493431757521e-06,0,1.43782899324652e-05,9.58552662164345e-06,0,0,4.79276331082172e-07,1.00648029527256e-05,6.70986863515041e-06,2.10881585676156e-05,0,5.2720396419039e-06,0.0039923718379145,4.36141461284777e-05,0.000189314150777458,0,0,0,0.143156485159927,4.79276331082172e-07,6.70986863515041e-06,0,1.05440792838078e-05,0,9.58552662164345e-05,9.58552662164345e-07,1.43782899324652e-05,2.39638165541086e-06,0,0,0,0.0133430530573277,1.91710532432869e-06,0,0.00344935175479839,0,0,0,0,2.10881585676156e-05
T2,5.41692217810617e-06,0.000589966553691975,0,0,1.59321240532534e-07,8.28470450769179e-06,0,5.89488589970377e-06,1.59321240532534e-07,4.77963721597603e-07,0,0.000224164985429276,7.82267291014744e-05,7.80674078609419e-06,0.0532806872226118,0,0.051408503325114,0.000735426846298179,0.000238185254596139,0.0544638067548064,6.19759625671559e-05,0,0.80918875695497,0,0,0,7.96606202662672e-07,0,0.00135359325956441,0,0,0,0,0,7.56775892529539e-05,0,0,0,4.77963721597603e-07,0,0,6.37284962130138e-07,0.00139804388567299,1.59321240532534e-06,1.59321240532534e-07,1.59321240532534e-07,0,4.22201287411216e-05,2.07117612692295e-06,0,0,7.96606202662672e-07,2.54913984852055e-06,1.43389116479281e-06,1.11524868372774e-06,0,2.70846108905309e-06,0.000369306635554415,7.96606202662672e-07,0.000407862375763288,2.70846108905309e-06,0,0,0.022472579619595,0,3.02710357011815e-06,0,1.11524868372774e-06,0,7.80674078609419e-06,4.77963721597603e-07,2.23049736745548e-06,1.11524868372774e-06,0,0,0,0.0018153062146277,6.37284962130138e-07,0,0.00173134392086705,0,0,0,0,1.75253364585788e-06
T3,8.39406743612285e-06,0.000138842412727221,2.2686668746278e-07,0,0,1.31582678728412e-05,0,1.58806681223946e-05,1.1343334373139e-06,2.2686668746278e-07,0,0.00174120182627683,6.80600062388339e-05,1.3385134560304e-05,0.24717738139126,0,0.0687682840370927,0.000607095255650398,0.000291750560077135,0.0409834670901512,0.000392479369310609,0,0.567949181862008,0,0,0,1.36120012477668e-06,2.2686668746278e-07,0.000970989422340697,0,0,0,0,2.2686668746278e-07,0.000211893486090236,0,0,0,0,0,0,0,0.00272081218274112,1.1343334373139e-06,0,1.1343334373139e-06,2.2686668746278e-07,0.000987096957150554,4.99106712418115e-06,0,0,2.2686668746278e-07,3.92479369310609e-05,3.85673368686725e-06,2.2686668746278e-06,0,4.53733374925559e-07,7.01018064259989e-05,4.76420043671837e-06,2.10986019340385e-05,0,0,0,0.0636456342341831,0,7.25973399880895e-06,0,1.1343334373139e-06,0,1.61075348098574e-05,1.58806681223946e-06,5.44480049910671e-06,1.1343334373139e-06,0,9.07466749851119e-07,0,0.00147395286844568,3.4030003119417e-06,0,0.00162844908260783,0,0,0,0,2.72240024955336e-06
T4,1.89286585741489e-05,0.000107032960301096,0,0,0,2.75325942896711e-05,0,3.54482151479516e-05,4.12988914345067e-06,6.88314857241778e-07,0,0.000581626054369302,0.000148331851735603,2.68442794324293e-05,0.282098272777113,0,0.0780039695117817,0.00361537378766244,0.000394404413199539,0.025641793376828,4.78378825783036e-05,6.88314857241778e-07,0.496212719576741,0,3.44157428620889e-07,0,3.78573171482978e-06,0,0.00613322953545286,0,0,0,0,3.44157428620889e-07,0.000196169734313907,0,0,0,0,0,0,0,0.0388908219064463,9.63640800138489e-06,3.44157428620889e-07,2.40910200034622e-06,2.75325942896711e-06,0.000536541431219966,2.06494457172533e-06,0,0,1.37662971448356e-06,0.000169669612310098,3.44157428620889e-06,1.06688802872476e-05,0,7.91562085828044e-06,0.000240910200034622,7.91562085828044e-06,0.000130779822875938,3.44157428620889e-07,0,0,0.0362335824000644,0,1.72078714310444e-06,0,5.50651885793422e-06,0,8.25977828690133e-06,1.92728160027698e-05,9.292250572764e-06,1.37662971448356e-06,0,0,0,0.0196080253382465,6.88314857241778e-06,0,0.0107852054981214,0,0,0,0,3.78573171482978e-06
T5,7.36717524733124e-06,9.31730987162481e-05,0,0,0,9.53399149654631e-06,0,5.20035899811617e-06,0,0,0,0.000198047005178257,0.000101840363713108,2.21015257419937e-05,0.144378866954449,0,0.100351327586648,0.00584477015063273,0.000464998767081554,0.0151378116802663,4.94034104821036e-05,0,0.665323096137737,0,0,0,1.73345299937206e-06,0,0.0168235947221557,0,0,0,0,0,0.00117614786007394,0,1.30008974952904e-06,0,0,0,0,4.98367737319466e-05,0.00281209412823132,5.20035899811617e-06,8.66726499686028e-07,0.000111374355209655,4.33363249843014e-07,2.60017949905808e-05,2.60017949905808e-06,0,0,8.66726499686028e-07,0.000256984407156907,0,5.20035899811617e-06,0,5.20035899811617e-06,0.00156054106268469,3.46690599874411e-06,0.000116574714207771,4.33363249843014e-07,0,0,0.0164010655535587,0,3.46690599874411e-06,0,8.66726499686028e-06,0,5.20035899811617e-06,2.16681624921507e-06,7.80053849717426e-06,0,0,0,0,0.0147464846656581,3.98694189855573e-05,0,0.0138255877597417,0,0,0,0,1.17008077457614e-05
T6,7.14876338308078e-06,4.88498831177187e-05,0,5.95730281923399e-07,0,8.93595422885098e-06,0,7.74449366500418e-06,1.1914605638468e-06,0,5.95730281923399e-07,0.000113784483847369,0.000135230773996611,2.02548295853956e-05,0.203410317571899,0,0.0933181700118908,0.00306979814275127,0.000698791620696147,0.00462882429054481,3.33608957877103e-05,7.14876338308078e-06,0.539669083742997,0,0,0,2.38292112769359e-06,0,0.000953168451077438,0,0,0,0,0,0.022382182422144,0,2.20420204311657e-05,0,0,0,0,2.79993232503997e-05,0.0232197791985283,5.36157253731059e-06,1.13188753565446e-05,1.1914605638468e-06,3.57438169154039e-06,1.7871908457702e-06,2.97865140961699e-06,0,0,1.1914605638468e-06,0.000481945798076029,5.95730281923399e-07,9.114673313428e-05,0,1.07231450746212e-05,0.00288154737366348,3.57438169154039e-06,5.89772979104165e-05,0,0,0,0.019022263632096,0,1.7871908457702e-06,0,1.25103359203914e-05,0,1.4893257048085e-05,4.17011197346379e-06,1.01274147926978e-05,5.95730281923399e-07,0,5.95730281923399e-07,0,0.0302541623674798,0.000131656392305071,0,0.0551926234293571,0,0,0,0,1.13188753565446e-05
